"last_name, first_name",season,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
"Abreu, José",2020,547989,CWS,145,1B,33,R,0,0.58,0.92,1.2,1.45,1.68,1.9,2.11,2.31,2.51,2.7,2.89,3.07,3.26,3.45,3.63,3.81,4,4.21
"Acuña Jr., Ronald",2020,660670,ATL,144,CF,22,R,0,0.56,0.87,1.12,1.35,1.56,1.76,1.95,2.13,2.31,2.48,2.65,2.83,3,3.16,3.33,3.5,3.68,3.86
"Adames, Willy",2020,642715,TB,139,SS,24,R,0,0.56,0.88,1.15,1.39,1.61,1.82,2.01,2.21,2.39,2.57,2.75,2.93,3.1,3.28,3.45,3.62,3.79,3.96
"Adell, Jo",2020,666176,LAA,108,RF,21,R,0,0.55,0.85,1.1,1.33,1.55,1.75,1.94,2.13,2.31,2.49,2.66,2.83,3,3.17,3.33,3.5,3.66,3.82
"Aguilar, Jesús",2020,542583,MIA,146,1B,30,R,0,0.58,0.94,1.23,1.5,1.75,1.98,2.21,2.42,2.63,2.83,3.03,3.24,3.44,3.63,3.82,4.02,4.22,4.43
"Ahmed, Nick",2020,605113,AZ,109,SS,30,R,0,0.57,0.9,1.17,1.41,1.63,1.85,2.05,2.25,2.44,2.62,2.81,2.98,3.16,3.34,3.51,3.69,3.86,4.04
"Akiyama, Shogo",2020,673451,CIN,113,LF,32,L,0,0.56,0.88,1.15,1.39,1.61,1.82,2.02,2.22,2.41,2.6,2.78,2.96,3.14,3.32,3.49,3.67,3.85,4.05
"Alberto, Hanser",2020,593643,BAL,110,2B,27,R,0,0.58,0.92,1.19,1.43,1.66,1.87,2.08,2.28,2.47,2.67,2.85,3.03,3.22,3.4,3.57,3.75,3.93,4.12
"Albies, Ozzie",2020,645277,ATL,144,2B,23,L,0,0.54,0.85,1.11,1.34,1.55,1.75,1.94,2.12,2.3,2.48,2.65,2.82,2.99,3.16,3.33,3.5,3.68,3.86
"Albies, Ozzie",2020,645277,ATL,144,2B,23,R,0,0.58,0.89,1.15,1.37,1.59,1.78,1.97,2.16,2.33,2.51,2.68,2.85,3.02,3.19,3.35,3.52,3.68,3.88
"Alfaro, Jorge",2020,595751,MIA,146,C,27,R,0,0.57,0.89,1.15,1.4,1.62,1.84,2.04,2.23,2.41,2.6,2.78,2.96,3.14,3.31,3.48,3.66,3.83,4.03
"Alonso, Pete",2020,624413,NYM,121,1B,25,R,0,0.57,0.91,1.19,1.44,1.67,1.89,2.1,2.31,2.51,2.71,2.9,3.09,3.28,3.46,3.65,3.83,4.02,4.22
"Altuve, Jose",2020,514888,HOU,117,2B,30,R,0,0.55,0.85,1.11,1.34,1.55,1.75,1.94,2.13,2.3,2.48,2.65,2.82,2.98,3.15,3.32,3.48,3.65,3.84
"Anderson, Brian",2020,605119,MIA,146,3B,27,R,0,0.58,0.9,1.18,1.43,1.66,1.88,2.09,2.3,2.5,2.69,2.88,3.07,3.26,3.44,3.63,3.81,4.01,4.2
"Anderson, Tim",2020,641313,CWS,145,SS,27,R,0,0.55,0.86,1.12,1.35,1.56,1.76,1.95,2.14,2.32,2.5,2.67,2.84,3.01,3.17,3.34,3.51,3.68,3.87
"Andrus, Elvis",2020,462101,TEX,140,SS,31,R,0,0.56,0.89,1.16,1.41,1.64,1.86,2.06,2.26,2.46,2.65,2.84,3.03,3.21,3.4,3.58,3.76,3.94,4.14
"Andujar, Miguel",2020,609280,NYY,147,DH,25,R,0,0.57,0.9,1.18,1.43,1.65,1.86,2.06,2.26,2.46,2.65,2.84,3.03,3.21,3.39,3.57,3.75,3.94,4.12
"Arcia, Orlando",2020,606115,MIL,158,SS,25,R,0,0.58,0.92,1.2,1.46,1.69,1.91,2.12,2.33,2.53,2.73,2.92,3.11,3.3,3.49,3.67,3.87,4.07,4.28
"Arenado, Nolan",2020,571448,COL,115,3B,29,R,0,0.57,0.93,1.22,1.49,1.73,1.96,2.18,2.39,2.59,2.8,3,3.2,3.4,3.59,3.79,3.98,4.19,4.39
"Arozarena, Randy",2020,668227,TB,139,LF,25,R,0,0.57,0.89,1.15,1.38,1.6,1.81,2.01,2.19,2.38,2.56,2.73,2.91,3.08,3.25,3.43,3.6,3.77,3.96
"Arraez, Luis",2020,650333,MIN,142,2B,23,L,0,0.56,0.88,1.15,1.39,1.61,1.83,2.03,2.23,2.43,2.62,2.81,3,3.18,3.36,3.55,3.73,3.92,4.13
