"last_name, first_name",season,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
"Abreu, José",2017,547989,CWS,145,1B,30,R,0,0.55,0.86,1.13,1.38,1.62,1.84,2.05,2.25,2.44,2.64,2.82,3.01,3.19,3.38,3.56,3.74,3.93,4.12
"Adams, Lane",2017,572669,ATL,144,,27,R,0,0.53,0.81,1.05,1.28,1.49,1.7,1.89,2.07,2.25,2.43,2.6,2.77,2.93,3.1,3.26,3.43,3.59,3.76
"Adams, Matt",2017,571431,ATL,144,1B,28,L,0,0.54,0.83,1.11,1.36,1.6,1.82,2.03,2.23,2.43,2.63,2.82,3,3.19,3.37,3.56,3.75,3.94,4.14
"Adduci, James",2017,451192,DET,116,RF,32,L,0,0.53,0.81,1.05,1.29,1.51,1.72,1.91,2.1,2.28,2.46,2.63,2.8,2.97,3.14,3.31,3.48,3.65,3.84
"Adrianza, Ehire",2017,501303,MIN,142,SS,27,L,0,0.53,0.81,1.06,1.3,1.53,1.74,1.94,2.13,2.32,2.51,2.69,2.87,3.05,3.23,3.41,3.59,3.78,3.97
"Adrianza, Ehire",2017,501303,MIN,142,SS,27,R,0,0.53,0.82,1.09,1.34,1.57,1.78,1.99,2.19,2.38,2.56,2.75,2.93,3.11,3.29,3.46,3.63,3.81,3.99
"Aguilar, Jesús",2017,542583,MIL,158,1B,27,R,0,0.59,0.93,1.22,1.49,1.74,1.97,2.19,2.41,2.62,2.82,3.02,3.22,3.42,3.62,3.81,4.01,4.21,4.43
"Ahmed, Nick",2017,605113,AZ,109,SS,27,R,0,0.56,0.87,1.13,1.38,1.61,1.83,2.03,2.23,2.42,2.61,2.79,2.97,3.15,3.33,3.5,3.68,3.85,4.03
"Albies, Ozzie",2017,645277,ATL,144,2B,20,L,0,0.53,0.8,1.05,1.27,1.49,1.69,1.88,2.07,2.25,2.43,2.6,2.78,2.95,3.12,3.29,3.46,3.64,3.82
"Alcántara, Arismendy",2017,570489,CIN,113,,25,R,0,0.55,0.83,1.08,1.31,1.53,1.73,1.92,2.11,2.28,2.46,2.63,2.8,2.97,3.13,3.3,3.46,3.63,3.79
"Alfaro, Jorge",2017,595751,PHI,143,C,24,R,0,0.54,0.85,1.12,1.37,1.6,1.81,2.01,2.21,2.4,2.59,2.77,2.96,3.13,3.31,3.49,3.66,3.83,4.01
"Almonte, Abraham",2017,501659,CLE,114,RF,28,L,0,0.52,0.8,1.06,1.3,1.52,1.73,1.93,2.12,2.31,2.49,2.67,2.84,3.02,3.19,3.36,3.54,3.71,3.9
